TMDT,F12_F,F12_T
8/4/2021 19:30,1.202954,0.02930403
8/4/2021 19:35,1.206646,0.02930403
8/4/2021 19:40,1.213292,0.02930403
8/4/2021 19:45,1.202954,0.02930403
8/4/2021 19:50,1.197785,0.02930403
8/4/2021 19:55,1.2,0.02930403
8/4/2021 20:00,1.208862,0.02930403
8/4/2021 20:05,1.214031,0.02930403
8/4/2021 20:10,1.201477,0.02930403
8/4/2021 20:15,1.195569,0.02930403
8/4/2021 20:20,1.207385,0.02930403
8/4/2021 20:25,1.1904,0.02930403
8/4/2021 20:30,1.205169,0.02930403
8/4/2021 20:35,1.205908,0.02930403
8/4/2021 20:40,1.193354,0.02930403
8/4/2021 20:45,1.197046,0.02930403
8/4/2021 20:50,1.203692,0.02930403
8/4/2021 20:55,1.205908,0.02930403
8/4/2021 21:00,1.191138,0.02930403
8/4/2021 21:05,1.186708,0.02930403
8/4/2021 21:10,1.189662,0.02930403
8/4/2021 21:15,1.205908,0.03052503
8/4/2021 21:20,1.202954,0.03052503
8/4/2021 21:25,1.195569,0.03052503
8/4/2021 21:30,1.208123,0.03052503
8/4/2021 21:35,1.1904,0.03052503
8/4/2021 21:40,1.195569,0.02930403
8/4/2021 21:45,1.222154,0.03052503
8/4/2021 21:50,1.193354,0.03052503
8/4/2021 21:55,1.196308,0.03052503
8/4/2021 22:00,1.199262,0.03052503
8/4/2021 22:05,1.200738,0.03052503
8/4/2021 22:10,1.194092,0.03052503
8/4/2021 22:15,1.200738,0.03052503
8/4/2021 22:20,1.189662,0.03052503
8/4/2021 22:25,1.210338,0.03052503
8/4/2021 22:30,1.199262,0.03052503
8/4/2021 22:35,1.194092,0.03052503
8/4/2021 22:40,1.195569,0.03052503
8/4/2021 22:45,1.195569,0.03052503
8/4/2021 22:50,1.198523,0.03052503
8/4/2021 22:55,1.183754,0.03052503
8/4/2021 23:00,1.202954,0.03052503
8/4/2021 23:05,1.192615,0.03052503
8/4/2021 23:10,1.208862,0.03052503
8/4/2021 23:15,1.194092,0.03052503
8/4/2021 23:20,1.204431,0.03052503
8/4/2021 23:25,1.191138,0.03052503
8/4/2021 23:30,1.201477,0.03052503
8/4/2021 23:35,1.211815,0.03052503
8/4/2021 23:40,1.196308,0.03052503
8/4/2021 23:45,1.212554,0.03052503
8/4/2021 23:50,1.205908,0.03052503
8/4/2021 23:55,1.206646,0.03052503
8/5/2021 0:00,1.189662,0.03052503
8/5/2021 0:05,1.191877,0.03052503
