"filter","Date","sampledFlow","sampledDatePC","sampledDateFlow","flow","turbidity","Bin1","Bin2","Bin3","Bin4","Bin5","Bin6","Bin7","Bin8","Bin9","difference","runID","runDifference"
12,2021-03-03 23:15:00,1.060431,2021-03-03 23:11:00,2021-03-03 23:15:00,1,0.02564103,0.2564103,0.02564103,0,0,0,0,0,0,0,15,1,27.75
12,2021-03-03 23:30:00,1.105477,2021-03-03 23:26:00,2021-03-03 23:30:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,28
12,2021-03-03 23:45:00,1.106954,2021-03-03 23:41:00,2021-03-03 23:45:00,1,0.02564103,0.2564103,0,0,0,0,0,0,0,0,15,1,28.25
12,2021-03-04 00:00:00,1.120985,2021-03-03 23:56:00,2021-03-04 00:00:00,1,0.02564103,0.30769236,0.02564103,0,0,0,0,0,0,0,15,1,28.5
12,2021-03-04 00:15:00,1.109169,2021-03-04 00:11:00,2021-03-04 00:15:00,1,0.02564103,0.28205133,0.02564103,0,0,0,0,0,0,0,15,1,28.75
12,2021-03-04 00:30:00,1.120985,2021-03-04 00:26:00,2021-03-04 00:30:00,1,0.02564103,0.33333339,0.02564103,0,0,0,0,0,0,0,15,1,29
12,2021-03-04 00:45:00,1.121723,2021-03-04 00:41:00,2021-03-04 00:45:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,29.25
12,2021-03-04 01:00:00,1.115077,2021-03-04 00:56:00,2021-03-04 01:00:00,1,0.02564103,0.33333339,0,0,0,0,0,0,0,0,15,1,29.5
12,2021-03-04 01:15:00,1.108431,2021-03-04 01:11:00,2021-03-04 01:15:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,29.75
12,2021-03-04 01:30:00,1.095877,2021-03-04 01:26:00,2021-03-04 01:30:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,30
12,2021-03-04 01:45:00,1.105477,2021-03-04 01:41:00,2021-03-04 01:45:00,1,0.02564103,0.2564103,0,0,0,0,0,0,0,0,15,1,30.25
12,2021-03-04 02:00:00,1.093662,2021-03-04 01:56:00,2021-03-04 02:00:00,1,0.02564103,0.2564103,0.02564103,0,0,0,0,0,0,0,15,1,30.5
12,2021-03-04 02:15:00,1.095877,2021-03-04 02:11:00,2021-03-04 02:15:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,30.75
12,2021-03-04 02:30:00,1.089969,2021-03-04 02:26:00,2021-03-04 02:30:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,31
12,2021-03-04 02:45:00,1.092185,2021-03-04 02:41:00,2021-03-04 02:45:00,1,0.02564103,0.30769236,0,0,0,0,0,0,0,0,15,1,31.25
12,2021-03-04 03:00:00,1.080369,2021-03-04 02:56:00,2021-03-04 03:00:00,1,0.02564103,0.2564103,0.02564103,0,0,0,0,0,0,0,15,1,31.5
12,2021-03-04 03:15:00,1.126154,2021-03-04 03:11:00,2021-03-04 03:15:00,1,0.02564103,0.23076927,0,0,0,0,0,0,0,0,15,1,31.75
12,2021-03-04 03:30:00,1.093662,2021-03-04 03:26:00,2021-03-04 03:30:00,1,0.02564103,0.35897442,0.02564103,0,0,0,0,0,0,0,15,1,32
12,2021-03-04 03:45:00,1.100308,2021-03-04 03:41:00,2021-03-04 03:45:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,32.25
